('mlnusdt', 'Enzyme')
('dydxusdt', 'dYdX')
('cfxusdt', 'Conflux')
('stptusdt', 'Standard Tokenization Protocol')
('radusdt', 'Radicle')
('burgerusdt', 'Burger Swap')
('bcdusdt', 'Bitcoin Diamond')
('roseusdt', 'Oasis Network')
('scrtusdt', 'Secret')
('sysusdt', 'Syscoin')
('agldusdt', 'Adventure Gold')
('keyusdt', 'KEY')
('rareusdt', 'SuperRare')
('sunusdt', 'Sun (New)')
('slpusdt', 'Smooth Love Potion')
('nuusdt', 'NuCypher')
('auctionusdt', 'Bounce Token')
('atausdt', 'Automata Network')
('oceanusdt', 'Ocean Protocol')
('superusdt', 'SuperCoin')
('betausdt', 'Beta Finance')
('cocosusdt', 'Cocos-BCX')
('waxpusdt', 'WAX')
('bchsvusdt', 'Bitcoin Cash SV')
('iotausdt', 'MIOTA')
('gxsusdt', 'GXChain')
