,Date,Open,High,Low,Close,Volume
0,2019-07-08 07:00:00,3.46,3.46,3.46,3.46,0.0
1,2019-07-11 00:00:00,3.1326,3.1326,3.1326,3.1326,0.0
2,2019-07-22 10:00:00,2.555,2.555,2.4851,2.4851,1.79
3,2019-07-29 12:00:00,2.1862,2.1862,2.161,2.161,20.0
4,2019-08-08 22:00:00,2.3718,2.3718,2.3718,2.3718,0.0
5,2019-08-10 01:00:00,2.2137,2.2137,2.2137,2.2137,0.0
6,2019-08-10 23:00:00,2.3059,2.3059,2.3059,2.3059,0.0
7,2019-10-09 08:00:00,2.7028,2.7028,2.7028,2.7028,0.0
8,2019-10-12 20:00:00,2.5803,2.5803,2.5803,2.5803,0.0
9,2019-10-26 22:00:00,2.7336,2.7336,2.7336,2.7336,0.0
10,2019-11-18 05:00:00,2.9155,2.9309,2.9155,2.9309,185.02
11,2019-11-20 15:00:00,2.7643,2.7643,2.7642,2.7642,18.0
12,2019-12-02 19:00:00,2.086,2.086,2.086,2.086,0.0
13,2019-12-10 21:00:00,2.2,2.2,2.2,2.2,0.0
14,2019-12-13 08:00:00,2.0873,2.0873,2.0859,2.0859,32.17
15,2019-12-13 18:00:00,2.0921,2.0921,2.0921,2.0921,0.0
16,2019-12-22 14:00:00,1.8764,1.8992,1.8764,1.8992,21.0
17,2019-12-27 22:00:00,1.89,1.89,1.89,1.89,0.0
18,2020-01-01 06:00:00,1.808,1.808,1.7983,1.7983,27.63
19,2020-01-10 18:00:00,2.2054,2.2054,2.2054,2.2054,0.0
20,2020-01-15 17:00:00,2.4375,2.4375,2.4027,2.4027,4.27
21,2020-01-28 12:00:00,2.6128,2.6128,2.6128,2.6128,0.0
22,2020-01-29 16:00:00,2.7001,2.7001,2.6944,2.6944,17.4
23,2020-02-14 04:00:00,3.9768,3.9768,3.9261,3.9261,108.29
24,2020-02-26 03:00:00,3.5,3.5,3.5,3.5,0.0
25,2020-03-01 17:00:00,3.8313,3.8313,3.8313,3.8313,0.0
26,2020-03-20 06:00:00,2.3025,2.3025,2.3025,2.3025,0.0
27,2020-03-24 15:00:00,2.2658,2.284,2.2634,2.284,52.75
28,2020-04-04 19:00:00,2.3015,2.3015,2.3015,2.3015,0.0
29,2020-04-28 12:00:00,3.6988,3.7433,3.6727,3.7156,613.46
30,2020-05-09 01:00:00,3.8441,3.8898,3.8441,3.8898,57.59
31,2020-05-10 21:00:00,3.7754,3.7769,3.7754,3.7765,28.26
32,2020-05-14 06:00:00,3.8048,3.8048,3.8048,3.8048,0.0
33,2020-06-24 03:00:00,4.8,4.8,4.7874,4.7882,18.43
34,2020-07-01 19:00:00,4.7,4.7,4.7,4.7,4.55
35,2020-07-11 12:00:00,6.0446,6.0446,6.0446,6.0446,0.0
36,2020-07-21 00:00:00,7.272,7.3649,7.272,7.3649,5.76
37,2020-08-05 07:00:00,9.5741,9.5741,9.4579,9.4921,232.99
38,2020-08-07 18:00:00,9.4484,9.5965,9.353,9.5965,87.53
